departamento,year,variable,cantidad
Boaco,2007,Denuncias,1062
Boaco,2007,Homicidios,12
Boaco,2007,Robos,121
Boaco,2007,Hurtos,197
Boaco,2007,Delitos sexuales,76
Boaco,2007,Lesiones,233
Boaco,2008,Denuncias,1272
Boaco,2008,Homicidios,4
Boaco,2008,Robos,214
Boaco,2008,Hurtos,167
Boaco,2008,Delitos sexuales,87
Boaco,2008,Lesiones,266
Boaco,2009,Denuncias,1170
Boaco,2009,Homicidios,8
Boaco,2009,Robos,194
Boaco,2009,Hurtos,74
Boaco,2009,Delitos sexuales,49
Boaco,2009,Lesiones,149
Boaco,2010,Denuncias,1347
Boaco,2010,Homicidios,5
Boaco,2010,Robos,191
Boaco,2010,Hurtos,72
Boaco,2010,Delitos sexuales,50
Boaco,2010,Lesiones,167
Boaco,2011,Denuncias,1570
Boaco,2011,Homicidios,9
Boaco,2011,Robos,173
Boaco,2011,Hurtos,95
Boaco,2011,Delitos sexuales,39
Boaco,2011,Lesiones,127
Boaco,2012,Denuncias,1412
Boaco,2012,Homicidios,6
Boaco,2012,Robos,137
Boaco,2012,Hurtos,74
Boaco,2012,Delitos sexuales,63
Boaco,2012,Lesiones,116
Boaco,2013,Denuncias,1363
Boaco,2013,Homicidios,4
Boaco,2013,Robos,127
Boaco,2013,Hurtos,69
Boaco,2013,Delitos sexuales,65
Boaco,2013,Lesiones,112
Boaco,2014,Denuncias,1069
Boaco,2014,Homicidios,5
Boaco,2014,Robos,79
Boaco,2014,Hurtos,45
Boaco,2014,Delitos sexuales,48
Boaco,2014,Lesiones,92
Boaco,2015,Denuncias,1046
Boaco,2015,Homicidios,2
Boaco,2015,Robos,93
Boaco,2015,Hurtos,44
Boaco,2015,Delitos sexuales,53
Boaco,2015,Lesiones,98
Boaco,2016,Denuncias,891
Boaco,2016,Homicidios,3
Boaco,2016,Robos,91
Boaco,2016,Hurtos,46
Boaco,2016,Delitos sexuales,32
Boaco,2016,Lesiones,98
Boaco,2017,Denuncias,693
Boaco,2017,Homicidios,3
Boaco,2017,Robos,61
Boaco,2017,Hurtos,34
Boaco,2017,Delitos sexuales,33
Boaco,2017,Lesiones,112
Boaco,2018,Denuncias,605
Boaco,2018,Homicidios,6
Boaco,2018,Robos,69
Boaco,2018,Hurtos,30
Boaco,2018,Delitos sexuales,26
Boaco,2018,Lesiones,103
Boaco,2019,Denuncias,679
Boaco,2019,Homicidios,4
Boaco,2019,Robos,71
Boaco,2019,Hurtos,29
Boaco,2019,Delitos sexuales,29
Boaco,2019,Lesiones,105
Carazo,2007,Denuncias,3937
Carazo,2007,Homicidios,5
Carazo,2007,Robos,807
Carazo,2007,Hurtos,584
Carazo,2007,Delitos sexuales,132
Carazo,2007,Lesiones,273
Carazo,2008,Denuncias,4423
Carazo,2008,Homicidios,6
Carazo,2008,Robos,919
Carazo,2008,Hurtos,589
Carazo,2008,Delitos sexuales,105
Carazo,2008,Lesiones,274
Carazo,2009,Denuncias,4331
Carazo,2009,Homicidios,5
Carazo,2009,Robos,803
Carazo,2009,Hurtos,470
Carazo,2009,Delitos sexuales,100
Carazo,2009,Lesiones,195
Carazo,2010,Denuncias,3768
Carazo,2010,Homicidios,5
Carazo,2010,Robos,557
Carazo,2010,Hurtos,536
Carazo,2010,Delitos sexuales,76
Carazo,2010,Lesiones,182
Carazo,2011,Denuncias,3740
Carazo,2011,Homicidios,2
Carazo,2011,Robos,611
Carazo,2011,Hurtos,591
Carazo,2011,Delitos sexuales,98
Carazo,2011,Lesiones,166
Carazo,2012,Denuncias,3360
Carazo,2012,Homicidios,9
Carazo,2012,Robos,473
Carazo,2012,Hurtos,401
Carazo,2012,Delitos sexuales,71
Carazo,2012,Lesiones,199
Carazo,2013,Denuncias,2647
Carazo,2013,Homicidios,5
Carazo,2013,Robos,344
Carazo,2013,Hurtos,225
Carazo,2013,Delitos sexuales,63
